"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Ethnicity"	"Ethnicity Code"	Count	Population	Crude Rate
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	797	91952736	0.87
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	59	4626239	1.28
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	210	11368986	1.85
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	113	9028052	1.25
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1628	88477215	1.84
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	26	Not Applicable	Not Applicable
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	39	4173527	0.93
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	101	10362896	0.97
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	75	7346564	1.02
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	899	76721518	1.17
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	62	3530564	1.76
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	221	8330302	2.65
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	139	6455309	2.15
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1696	72111393	2.35
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	22	Not Applicable	Not Applicable
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	37	3124143	1.18
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	102	7993587	1.28
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	80	5620038	1.42
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1043	62388288	1.67
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	17	Not Applicable	Not Applicable
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	76	2599489	2.92
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	173	6064769	2.85
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	132	4628825	2.85
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1685	56303271	2.99
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	17	Not Applicable	Not Applicable
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	46	2429973	1.89
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	85	6369018	1.33
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	80	4413548	1.81
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1086	53818621	2.02
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	37	1906756	1.94
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	142	4426405	3.21
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	133	3393381	3.92
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1668	45336062	3.68
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	36	1807740	1.99
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	115	4993203	2.30
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	62	3328288	1.86
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1140	48040457	2.37
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	38	1316074	2.89
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	114	3061403	3.72
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	104	2380917	4.37
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1436	36240169	3.96
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	23	1195845	1.92
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	69	3516339	1.96
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	57	2220716	2.57
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1074	39095815	2.75
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	22	806437	2.73
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	56	1827074	3.07
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	71	1437916	4.94
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1085	25122990	4.32
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	21	963574	2.18
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	84	3365184	2.50
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	54	1851846	2.92
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1165	39901315	2.92
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	40	1265469	3.16
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	42	953313	4.41
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	814	18102317	4.50
	"Larynx"	"22020"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	34	84979293	0.04
	"Larynx"	"22020"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	28	87347663	0.03
	"Larynx"	"22020"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	54	81912125	0.07
	"Larynx"	"22020"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	62	82857754	0.07
	"Larynx"	"22020"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	24	22303145	0.11
	"Larynx"	"22020"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	139	84049066	0.17
	"Larynx"	"22020"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	22	16694766	0.13
	"Larynx"	"22020"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	27	24862338	0.11
	"Larynx"	"22020"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	179	85346899	0.21
	"Larynx"	"22020"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	56	19274947	0.29
	"Larynx"	"22020"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	40	20874612	0.19
	"Larynx"	"22020"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	298	92649394	0.32
	"Larynx"	"22020"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	17	8026084	0.21
	"Larynx"	"22020"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	105	17096494	0.61
	"Larynx"	"22020"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	83	22474886	0.37
	"Larynx"	"22020"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	623	93367478	0.67
	"Larynx"	"22020"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	181	19765691	0.92
	"Larynx"	"22020"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	59	18543430	0.32
	"Larynx"	"22020"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	862	102849574	0.84
	"Larynx"	"22020"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	20	1191814	1.68
	"Larynx"	"22020"	"40-44 years"	"40-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	30	7312907	0.41
	"Larynx"	"22020"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	500	17530687	2.85
	"Larynx"	"22020"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	229	19529364	1.17
	"Larynx"	"22020"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	2164	102841804	2.10
	"Larynx"	"22020"	"40-44 years"	"40-44"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	19	Not Applicable	Not Applicable
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	430	19002859	2.26
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	97	15627590	0.62
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1823	107275921	1.70
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	37	1163592	3.18
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	95	6607416	1.44
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	17	711521	2.39
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	1354	16747555	8.08
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	493	15937222	3.09
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	5621	106235065	5.29
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	17	Not Applicable	Not Applicable
	"Larynx"	"22020"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	47	Not Applicable	Not Applicable
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	28	1125465	2.49
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	24	6678615	0.36
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	665	16910792	3.93
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	157	12604200	1.25
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	2865	103781807	2.76
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	73	1029345	7.09
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	147	5756437	2.55
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	24	565665	4.24
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	2447	14657560	16.69
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	804	12315825	6.53
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	10418	101619711	10.25
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	25	Not Applicable	Not Applicable
	"Larynx"	"22020"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	88	Not Applicable	Not Applicable
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	25	890853	2.81
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	29	5466810	0.53
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	795	13557258	5.86
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	157	9735351	1.61
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	3739	91952736	4.07
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	90	814265	11.05
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	208	4626239	4.50
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	43	400114	10.75
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	3188	11368986	28.04
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	1019	9028052	11.29
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	14542	88477215	16.44
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	25	Not Applicable	Not Applicable
	"Larynx"	"22020"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	102	Not Applicable	Not Applicable
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	37	657947	5.62
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	40	4173527	0.96
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	745	10362896	7.19
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	219	7346564	2.98
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	4288	76721518	5.59
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	25	Not Applicable	Not Applicable
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	110	604053	18.21
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	236	3530564	6.68
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	41	274740	14.92
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	3343	8330302	40.13
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	1201	6455309	18.60
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	16695	72111393	23.15
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	21	Not Applicable	Not Applicable
	"Larynx"	"22020"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	120	Not Applicable	Not Applicable
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	28	468739	5.97
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	40	3124143	1.28
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	731	7993587	9.14
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	187	5620038	3.33
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	4405	62388288	7.06
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	27	Not Applicable	Not Applicable
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	97	417148	23.25
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	252	2599489	9.69
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	36	189251	19.02
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	2896	6064769	47.75
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	1229	4628825	26.55
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	16954	56303271	30.11
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	27	Not Applicable	Not Applicable
	"Larynx"	"22020"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	109	Not Applicable	Not Applicable
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	36	2429973	1.48
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	504	6369018	7.91
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	163	4413548	3.69
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	3817	53818621	7.09
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	16	Not Applicable	Not Applicable
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	77	279022	27.60
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	256	1906756	13.43
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	36	131035	27.47
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	2164	4426405	48.89
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	1110	3393381	32.71
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	14811	45336062	32.67
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	25	Not Applicable	Not Applicable
	"Larynx"	"22020"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	94	Not Applicable	Not Applicable
	"Larynx"	"22020"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	29	1807740	1.60
	"Larynx"	"22020"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	372	4993203	7.45
	"Larynx"	"22020"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	116	3328288	3.49
	"Larynx"	"22020"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	2936	48040457	6.11
	"Larynx"	"22020"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	46	175973	26.14
